review_id,review_text,sentiment,category,date
1,Cannot reach anyone on the phone. Automated system is useless.,0,fees,2024-08-05
2,"Friendly staff, efficient service. Will definitely stay with this bank. Perfect!",1,service,2023-01-21
3,Fast and reliable service. My card issue was resolved same day. Five stars!,1,service,2024-12-23
4,My card was blocked without any notification. Very frustrated. Avoid this bank!,0,,2024-01-31
5,My mortgage was approved quickly. Very happy with the process.,1,service,2023-09-02
6,Overcharged three times this month. No resolution after two calls. Avoid this bank!,0,fees,2023-08-08
7,Cannot reach anyone on the phone. Automated system is useless. Avoid this bank!,0,card_issues,2024-09-30
8,Really pleased with how the team handled my fraud complaint.,1,fees,2023-12-18
9,Fast and reliable service. My card issue was resolved same day. Highly recommend!,1,loan,2024-06-13
10,The ATM ate my card and nobody could help me. Disaster. Zero stars.,0,card_issues,2023-03-01
11,"Online banking app works perfectly, love the new features.",1,mobile_app,2023-11-07
12,The app keeps crashing and I cannot access my account. Zero stars.,0,service,2024-12-08
13,"Quick response from the support team, highly recommend this bank. Perfect!",1,fees,2023-12-01
14,"I am very satisfied with the loan process, it was smooth and fast.",1,loan,2024-04-12
15,"Quick response from the support team, highly recommend this bank.",1,fees,2023-11-13
16,Cannot reach anyone on the phone. Automated system is useless.,0,loan,2024-01-26
17,Worst bank ever. Every interaction is a nightmare.,0,loan,2023-07-21
18,Really pleased with how the team handled my fraud complaint. Perfect!,1,mobile_app,2024-10-30
19,Worst bank ever. Every interaction is a nightmare. Zero stars.,0,fees,2024-11-24
20,Really pleased with how the team handled my fraud complaint. Highly recommend!,1,fees,2023-10-04
21,Cannot reach anyone on the phone. Automated system is useless.,0,app_issues,2023-11-07
22,The customer service was excellent and very professional. Perfect!,1,fees,2024-07-29
23,Decent mobile app but missing some features I need.,1,support,2024-11-28
24,Fast and reliable service. My card issue was resolved same day. Perfect!,1,service,2023-03-09
25,Customer service is rude and unhelpful. Will be switching banks. Zero stars.,0,,2024-08-17
26,Cannot reach anyone on the phone. Automated system is useless. Zero stars.,0,fees,2024-01-15
27,The ATM ate my card and nobody could help me. Disaster. Avoid this bank!,0,app_issues,2024-02-28
28,"Quick response from the support team, highly recommend this bank. Highly recommend!",1,mobile_app,2023-08-17
29,Interest rate changed without warning. Feels like fraud.,0,,2024-12-05
30,"Average bank, nothing special but gets the job done.",0,app_issues,2023-03-05
31,Fast and reliable service. My card issue was resolved same day. Highly recommend!,1,loan,2024-04-29
32,Transferred money internationally without any issues. Great service! Five stars!,1,support,2024-11-24
33,"Standard experience, similar to other banks.",1,,2023-03-17
34,The mobile app is intuitive and I can manage everything easily.,1,service,2024-04-17
35,The branch is fine but the wait times could be shorter.,0,service,2023-02-15
36,Customer service is rude and unhelpful. Will be switching banks. Avoid this bank!,0,app_issues,2024-04-02
37,The interest rates are competitive and the account setup was easy. Highly recommend!,1,fees,2023-10-05
38,Transfer failed but money was deducted. Still waiting for refund.,0,card_issues,2024-08-21
39,Great experience! The staff resolved my issue within minutes. Five stars!,1,mobile_app,2023-08-02
40,Customer service is rude and unhelpful. Will be switching banks.,0,service,2023-04-25
41,Great experience! The staff resolved my issue within minutes. Highly recommend!,1,fees,2023-05-23
42,"Horrible experience, waited 45 minutes just to speak to someone.",0,app_issues,2023-03-16
43,"Horrible experience, waited 45 minutes just to speak to someone.",0,loan,2024-02-19
44,"I am very satisfied with the loan process, it was smooth and fast. Highly recommend!",1,fees,2024-07-05
45,Best bank I have ever used. Transparent fees and excellent support. Highly recommend!,1,fees,2023-01-10
46,Transferred money internationally without any issues. Great service!,1,support,2023-05-19
47,"Online banking app works perfectly, love the new features. Highly recommend!",1,service,2024-09-26
48,The customer service was excellent and very professional. Perfect!,1,service,2023-08-21
49,"I am very satisfied with the loan process, it was smooth and fast. Five stars!",1,mobile_app,2023-08-15
50,Excellent communication throughout my loan application. Thank you! Five stars!,1,mobile_app,2024-04-13
51,"I am very satisfied with the loan process, it was smooth and fast.",1,fees,2024-03-02
52,Waited 3 weeks for a simple document. Completely unacceptable.,0,app_issues,2023-09-09
